"lavaeID","motherID","lightWavelength","totalMovementDistance","activity"
"1","1","365nm",151.23,21
"2","1","365nm",159.26,23.25
"3","1","365nm",154.87,21.36
"4","2","365nm",152.32,22.53
"5","2","365nm",149.62,21.36
"6","2","365nm",151.23,23.55
"7","3","365nm",156.33,21.65
"8","3","365nm",152.34,23.56
"9","3","365nm",165.32,24.15
"10","4","365nm",153.26,23.66
"11","4","365nm",155.21,21.55
"12","4","365nm",150.23,20.16
"13","5","365nm",150.32,20.58
"14","5","365nm",149.62,23.32
"15","5","365nm",150.23,21.53
"16","6","420nm",160.71,25.13
"17","6","420nm",161.23,20.33
"18","6","420nm",159.87,21.59
"19","7","420nm",153.24,26.35
"20","7","420nm",162.33,25.31
"21","7","420nm",159.32,24.36
"22","8","420nm",151.02,22.53
"23","8","420nm",156.32,28.63
"24","8","420nm",153.32,21.52
"25","9","420nm",152.03,23.32
"26","9","420nm",151.23,24.15
"27","9","420nm",150.32,20.15
"28","10","420nm",151.22,21.36
"29","10","420nm",149.32,20.53
"30","10","420nm",140.23,21.63
"31","11","470nm",132.62,19.15
"32","11","470nm",133.25,19.63
"33","11","470nm",130.23,15.22
"34","12","470nm",132.56,16.43
"35","12","470nm",125.63,16.25
"36","12","470nm",124.32,19.33
"37","13","470nm",124.69,15.23
"38","13","470nm",125.32,15.11
"39","13","470nm",121.53,15.26
"40","14","470nm",120.3,15.36
"41","14","470nm",120.92,16.24
"42","14","470nm",110.32,16.77
"43","15","470nm",121.53,16.89
"44","15","470nm",126.33,18.52
"45","15","470nm",121.36,16.25
"46","16","500nm",165.23,23.18
"47","16","500nm",162,36.35
"48","16","500nm",161.23,26.53
"49","17","500nm",152.23,21.25
"50","17","500nm",152.1,24.25
"51","17","500nm",124.36,23.56
"52","18","500nm",135.26,26.33
"53","18","500nm",135.65,20.13
"54","18","500nm",123.32,20.03
"55","19","500nm",122.32,21.56
"56","19","500nm",132.63,21.69
"57","19","500nm",152.36,19.23
"58","20","500nm",159.36,15.23
"59","20","500nm",154.73,16.69
"60","20","500nm",156.32,18.23
"61","21","520nm",166.98,20.16
"62","21","520nm",168.56,21.26
"63","21","520nm",154.23,23.32
"64","22","520nm",151.32,20.35
"65","22","520nm",132.33,20.36
"66","22","520nm",121.23,26.53
"67","23","520nm",102.23,21.55
"68","23","520nm",112.22,20.36
"69","23","520nm",105.26,21.32
"70","24","520nm",104.22,20.19
"71","24","520nm",108.59,21.36
"72","24","520nm",126.32,20.55
"73","25","520nm",103.26,21.63
"74","25","520nm",152.32,20.13
"75","25","520nm",124.23,22.56
"76","26","590nm",149.23,29.15
"77","26","590nm",147.62,36.58
"78","26","590nm",154.23,30.26
"79","27","590nm",151.26,35.12
"80","27","590nm",140.22,31.26
"81","27","590nm",143.32,29.51
"82","28","590nm",142.35,32.66
"83","28","590nm",141.62,29.15
"84","28","590nm",142.32,28.53
"85","29","590nm",140.23,25.15
"86","29","590nm",125.32,26.53
"87","29","590nm",141.22,25.13
"88","30","590nm",140.23,26.13
"89","30","590nm",144.23,26.66
"90","30","590nm",142.53,25.33
"91","31","620nm",152.36,19.26
"92","31","620nm",132.32,18.65
"93","31","620nm",102.32,23.21
"94","32","620nm",125.36,30.26
"95","32","620nm",136.32,21.53
"96","32","620nm",125.33,16.23
"97","33","620nm",126.35,15.96
"98","33","620nm",128.36,15.32
"99","33","620nm",127.36,16.22
"100","34","620nm",122.35,16.98
"101","34","620nm",102.36,15.32
"102","34","620nm",111.23,19.65
"103","35","620nm",106.35,13.56
"104","35","620nm",135.26,16.35
"105","35","620nm",126.32,19.65
"106","36","635nm",126.35,17.56
"107","36","635nm",136.99,19.65
"108","36","635nm",165.36,20.13
"109","37","635nm",125.35,22.32
"110","37","635nm",121.36,26.53
"111","37","635nm",129.66,25.65
"112","38","635nm",158.65,29.68
"113","38","635nm",159.63,29.66
"114","38","635nm",132.55,30.12
"115","39","635nm",136.53,35.26
"116","39","635nm",128.56,29.56
"117","39","635nm",165.99,11.26
"118","40","635nm",154.63,10.35
"119","40","635nm",152.03,15.23
"120","40","635nm",151.22,16.78
"121","41","660nm",136.69,18.62
"122","41","660nm",135.26,15.32
"123","41","660nm",137.52,16.69
"124","42","660nm",169.36,18.23
"125","42","660nm",152.32,20.2
"126","42","660nm",102.33,21.56
"127","43","660nm",112.23,23.54
"128","43","660nm",106.32,21.56
"129","43","660nm",115.23,38.26
"130","44","660nm",102.63,30.69
"131","44","660nm",111.23,35.88
"132","44","660nm",108.23,32.64
"133","45","660nm",111.23,21.36
"134","45","660nm",105.26,30.65
"135","45","660nm",132.32,19.36
"136","46","dark",210.09,36.52
"137","46","dark",230.95,36.98
"138","46","dark",223.18,37.42
"139","47","dark",215.79,38.12
"140","47","dark",203.57,39.55
"141","47","dark",222.32,38.42
"142","48","dark",210.32,31.52
"143","48","dark",225.36,30.26
"144","48","dark",256.32,39.55
"145","49","dark",255.44,36.24
"146","49","dark",258.39,31.25
"147","49","dark",251.63,36.53
"148","50","dark",256.65,32.65
"149","50","dark",254.12,34.52
"150","50","dark",257.58,36.11
"151","51","white",136.18,18.17
"152","51","white",127.39,21.33
"153","51","white",119.07,22.17
"154","52","white",132.78,21.09
"155","52","white",132.98,22.37
"156","52","white",127.93,21.34
"157","53","white",110.99,20.98
"158","53","white",103.75,19.98
"159","53","white",128.97,19.66
"160","54","white",103.98,15.34
"161","54","white",113.88,20.98
"162","54","white",132.9,18.77
"163","55","white",100.98,19.07
"164","55","white",101.17,20.17
"165","55","white",131.77,21.13
