Subject_ID,Replicate,Treatment,Distance_moved
C01.001,01,Control,4.35831
C01.002,01,Control,0
C01.003,01,Control,0
C01.004,01,Control,0.657049
A01.005,01,ALAN,0
A01.006,01,ALAN,3.86495
A01.007,01,ALAN,0
A01.008,01,ALAN,0.908374
A01.009,01,ALAN,9.19434
A01.010,01,ALAN,3.60625
A01.011,01,ALAN,3.42178
A01.012,01,ALAN,0.215531
C02.014,02,Control,1.87605
C02.015,02,Control,1.85036
C02.016,02,Control,0
C03.017,03,Control,29.3921
C03.018,03,Control,0
C03.019,03,Control,0
C03.020,03,Control,0.210629
A03.021,03,ALAN,0
A03.022,03,ALAN,0
A03.023,03,ALAN,2.37463
A03.024,03,ALAN,1.0253
A04.025,04,ALAN,2.24448
A04.026,04,ALAN,0
A04.027,04,ALAN,2.15192
A04.028,04,ALAN,1.97429
C04.029,04,Control,0
C04.030,04,Control,0
C04.031,04,Control,3.75737
C04.032,04,Control,3.48113
C05.033,05,Control,0
C05.034,05,Control,4.58923
C05.036,05,Control,2.95234
A05.037,05,ALAN,6.39424
A05.038,05,ALAN,1.46917
A05.039,05,ALAN,0
A05.040,05,ALAN,6.81145
A06.041,06,ALAN,3.81197
A06.042,06,ALAN,2.49937
A06.043,06,ALAN,3.28593
A06.044,06,ALAN,1.90734
C06.045,06,Control,2.51398
C06.046,06,Control,0
C06.047,06,Control,0
C06.048,06,Control,0.408669
A03.049,03,ALAN,7.68044
A03.050,03,ALAN,6.18285
A03.051,03,ALAN,2.04151
A03.052,03,ALAN,1.43334
C03.053,03,Control,8.73873
C03.054,03,Control,5.63822
C03.055,03,Control,7.01492
C03.056,03,Control,7.93909
C04.057,04,Control,0
C04.058,04,Control,4.15825
C04.059,04,Control,0
C04.060,04,Control,5.02206
A04.061,04,ALAN,3.28148
A04.062,04,ALAN,3.94744
A04.063,04,ALAN,6.2034
A04.064,04,ALAN,4.1924
A05.065,05,ALAN,4.23651
A05.066,05,ALAN,0
A05.067,05,ALAN,2.76757
A05.068,05,ALAN,6.7839
C05.069,05,Control,6.94964
C05.070,05,Control,3.99597
C05.071,05,Control,46.1325
C05.072,05,Control,0.809443
C06.073,06,Control,0.204402
C06.074,06,Control,7.1321
C06.075,06,Control,2.08372
C06.076,06,Control,5.41154
A06.077,06,ALAN,2.30696
A06.078,06,ALAN,3.89462
A06.079,06,ALAN,2.15314
A06.080,06,ALAN,4.4732
A01.081,01,ALAN,9.53943
A01.082,01,ALAN,4.33297
A01.083,01,ALAN,1.57268
A01.084,01,ALAN,2.39652
C01.085,01,Control,1.90503
C01.086,01,Control,8.91235
C01.087,01,Control,0
C01.088,01,Control,9.35202
C02.089,02,Control,1.28922
C02.090,02,Control,0.771508
C02.091,02,Control,0
C02.092,02,Control,0.223721
A02.093,02,ALAN,8.05908
A02.094,02,ALAN,11.1016
A02.095,02,ALAN,0
A02.096,02,ALAN,0
C06.097,06,Control,0.52626
C06.098,06,Control,0
C06.099,06,Control,1.8705
A06.101,06,ALAN,6.40309
A06.102,06,ALAN,7.02926
A06.103,06,ALAN,6.09553
A06.104,06,ALAN,5.073
A01.105,01,ALAN,6.36982
A01.106,01,ALAN,3.61326
A01.107,01,ALAN,0
A01.108,01,ALAN,7.08032
C01.109,01,Control,2.46983
C01.110,01,Control,8.33272
C01.111,01,Control,4.58617
C01.112,01,Control,3.24479
C02.113,02,Control,2.03964
C02.114,02,Control,4.57028
C02.115,02,Control,10.551
C02.116,02,Control,0
A02.117,02,ALAN,6.42363
A02.118,02,ALAN,2.32607
A02.119,02,ALAN,4.49741
A02.120,02,ALAN,1.16039
A02.121,02,ALAN,4.12529
A02.122,02,ALAN,5.75291
A02.123,02,ALAN,3.42378
A02.124,02,ALAN,7.58622
C02.125,02,Control,13.2455
C02.126,02,Control,1.32399
C02.127,02,Control,4.91186
C02.128,02,Control,3.68977
C04.129,04,Control,3.2841
C04.130,04,Control,6.54327
C04.131,04,Control,0
C04.132,04,Control,12.2656
A04.133,04,ALAN,0.837661
A04.134,04,ALAN,4.45952
A04.135,04,ALAN,13.7397
A04.136,04,ALAN,4.42098
A05.137,05,ALAN,5.39558
A05.138,05,ALAN,0
A05.139,05,ALAN,0
A05.140,05,ALAN,1.74314
C05.141,05,Control,9.08927
C05.142,05,Control,6.51264
C05.143,05,Control,1.43441
C05.144,05,Control,0
A02.145,02,ALAN,9.43404
A02.146,02,ALAN,12.1009
A02.147,02,ALAN,5.50314
C01.149,01,Control,3.76119
C01.150,01,Control,4.97888
C01.151,01,Control,7.03373
C01.152,01,Control,5.88078
C03.153,03,Control,0
C03.154,03,Control,3.0475
C03.155,03,Control,6.37219
C03.156,03,Control,6.53633
A03.157,03,ALAN,5.55707
A03.158,03,ALAN,2.72853
A03.159,03,ALAN,3.82937
A03.160,03,ALAN,6.79587
A05.161,05,ALAN,2.5849
A05.162,05,ALAN,3.52312
A05.163,05,ALAN,5.19325
A05.164,05,ALAN,0.990983
C05.165,05,Control,6.40788
C05.166,05,Control,6.38534
C05.167,05,Control,6.52905
C05.168,05,Control,5.12453
C01.169,01,Control,1.95627
C01.170,01,Control,1.06917
C01.171,01,Control,11.8019
C01.172,01,Control,6.5501
A02.173,02,ALAN,0.705352
A02.174,02,ALAN,7.55297
A02.175,02,ALAN,1.75696
A02.176,02,ALAN,4.08756
A03.177,03,ALAN,0
A03.178,03,ALAN,11.6181
A03.179,03,ALAN,7.33744
